"Date","Price","Open","High","Low","Vol.","Change %"
"02/04/2026","295.77","290.69","298.08","289.45","21.67M","-0.54%"
"01/04/2026","297.39","290.83","300.52","290.41","37.68M","3.42%"
"31/03/2026","287.56","278.04","288.08","277.09","43.88M","5.14%"
"30/03/2026","273.50","276.42","277.09","272.11","35.14M","-0.31%"
"27/03/2026","274.34","277.27","279.37","273.95","35.89M","-2.34%"
"26/03/2026","280.92","287.91","287.95","278.50","39.08M","-3.44%"
"25/03/2026","290.93","293.44","296.00","289.24","29.46M","0.17%"
"24/03/2026","290.44","299.20","299.92","290.33","36.86M","-3.85%"
"23/03/2026","302.06","302.11","305.98","300.93","29.33M","0.35%"
"20/03/2026","301.00","305.46","306.00","298.27","44.36M","-2.00%"
"19/03/2026","307.13","304.01","308.06","302.35","25.08M","-0.18%"
"18/03/2026","307.69","309.27","312.47","306.93","20.01M","-1.04%"
"17/03/2026","310.92","305.86","311.42","305.50","21.96M","1.75%"
"16/03/2026","305.56","304.35","306.49","303.02","23.52M","1.09%"
"13/03/2026","302.28","307.01","307.69","300.44","23.69M","-0.42%"
"12/03/2026","303.55","306.82","308.94","301.03","24.93M","-1.67%"
"11/03/2026","308.70","306.75","311.42","305.92","24.13M","0.54%"
"10/03/2026","307.04","306.17","309.51","305.57","23.24M","0.22%"
"09/03/2026","306.36","294.36","306.80","294.08","29.31M","2.63%"
"06/03/2026","298.52","296.09","300.53","295.18","25.58M","-0.78%"
"05/03/2026","300.88","303.04","303.30","297.99","35.75M","-0.74%"
"04/03/2026","303.13","302.89","305.47","300.75","29.54M","-0.15%"
"03/03/2026","303.58","298.59","303.94","296.71","35.50M","-0.96%"
"02/03/2026","306.52","303.23","308.49","301.30","34.79M","-1.68%"
"27/02/2026","311.76","304.14","312.37","303.80","44.64M","1.42%"
"26/02/2026","307.38","312.64","313.14","302.35","36.43M","-1.76%"
"25/02/2026","312.90","312.06","313.64","309.44","29.96M","0.64%"
"24/02/2026","310.90","310.52","312.27","305.93","25.62M","-0.19%"
"23/02/2026","311.49","319.05","319.52","309.86","31.42M","-1.11%"
"20/02/2026","314.98","304.32","316.50","303.90","53.21M","4.01%"
